3.7233,4.6336,8.1537,9.024,9.1637,9.8033,0.998,5.5313,6.3704,9.007,2.3823,0.3261,7.9847,7.9302,6.5972,3.2588,5.3949,7.5496,2.2171,0.8032,4.9184,8.3323,2.8509,6.3926,4.991,2.0717,3.8983,8.9557,5.1882,7.4803,5.268,0.4613,0.7994,7.7782,7.2763,9.3858,7.9901,8.3745,4.072,8.914,5.4375,4.1545,5.4497,8.3102,7.0815,6.5158,5.9578,9.1391,3.5155,4.1721,4.5524,4.8775,5.7809,6.3455,2.9752,7.5488,7.0264,2.2056,7.8227,8.3774,1.9625,4.236,7.2636,5.9757
8.6601,8.0325,2.0877,5.0129,4.0741,7.0239,6.6042,0.0392,5.2338,5.7675,4.507,6.7957,9.9575,4.968,3.3179,2.7313,9.8485,0.6154,7.1501,9.2001,3.564,5.872,5.7608,7.0778,6.4857,1.5829,6.0515,5.0831,9.4342,7.4416,9.3457,3.7416,0.8837,3.6049,5.6249,8.6537,2.8002,3.8609,4.3669,5.4437,4.5461,4.8892,4.6816,0.7334,3.1628,9.9325,6.2658,6.4855,6.6981,0.0387,2.2714,3.1144,0.5087,5.2859,0.0309,0.1507,3.3184,9.2811,7.2989,5.3053,9.1072,3.1321,2.1315,3.4335
5.6041,1.392,6.8283,1.045,0.471,6.1156,9.2116,9.7898,8.4789,0.8528,5.2102,2.5654,2.5589,2.8481,3.0873,8.0883,6.6933,1.6064,5.5274,3.1147,9.8942,9.1233,2.984,6.9346,1.8578,5.9267,9.2187,5.3255,7.8855,0.6469,3.7385,1.0988,4.6843,6.361,7.4908,7.4914,7.3881,0.1444,4.055,5.3581,9.5096,2.8336,6.2942,0.8198,2.8381,5.6454,6.0759,2.817,1.0004,1.0926,2.0656,4.304,0.9736,7.6008,9.697,0.2663,2.0519,0.1626,3.1078,1.8506,5.8015,4.9018,8.6582,1.9021
9.4781,6.8227,6.3033,1.9005,5.2704,3.2825,8.4322,8.8667,7.6883,6.9781,5.749,3.4087,1.6138,0.9261,6.9066,9.403,9.5362,1.4983,6.9259,7.338,6.9236,8.425,3.0598,2.6541,2.7897,1.2647,5.5235,0.1595,8.5594,7.8046,2.8217,3.132,7.2517,9.6838,5.3028,2.6569,8.6426,7.2887,1.5927,3.4868,1.2698,9.1081,1.571,2.3212,3.7016,0.1087,5.8015,6.4631,9.474,3.8641,7.1235,7.983,1.1113,0.549,5.2529,9.0956,1.2397,1.9218,3.7825,1.0931,4.0543,1.0336,1.9075,6.5073
2.2436,2.796,0.861,8.6823,2.9357,8.596,9.6125,4.7903,5.1579,6.4232,4.1729,2.5161,4.4183,4.2174,3.9163,5.9697,9.7791,1.9429,6.929,4.066,0.5559,1.16,3.1724,7.8861,7.8772,9.0924,1.4201,2.0451,6.0481,3.3937,2.9604,3.5671,5.4685,0.6217,6.3943,4.2139,6.302,4.9796,7.087,0.9095,6.8962,7.0818,2.5981,4.6616,5.0686,1.6392,8.4579,4.0818,0.4747,9.246,0.6822,8.0736,0.1392,2.8994,7.4999,4.924,2.1829,2.5282,5.7832,9.3484,8.4564,5.9464,5.2641,8.2067
5.4322,4.1,4.923,7.071,5.9105,7.696,4.4313,5.8151,8.5673,6.0186,6.4296,6.0668,5.8526,6.3966,4.7409,9.3797,8.4983,7.0875,2.638,8.1895,5.9227,0.7301,4.5627,6.7023,0.8632,1.4073,1.352,1.0397,5.9898,4.8495,2.1012,7.465,7.3599,2.7356,9.3587,2.769,8.8137,7.1634,1.9414,0.3051,0.3759,7.3452,1.0259,9.6365,1.5803,1.6567,9.0473,6.8332,5.5391,3.9041,8.8011,6.3504,2.1222,0.628,8.0654,7.1382,9.1955,0.5053,5.6935,7.9589,9.589,6.5088,2.5529,6.9453
5.3927,1.9718,6.3922,9.3467,9.4672,8.5333,5.7661,2.716,3.825,5.4371,3.6655,2.0022,5.7107,8.3672,2.3117,8.9581,0.0419,7.6861,0.0946,2.2373,3.1272,6.8929,0.5954,5.6105,4.6379,8.9465,5.7952,1.9039,6.0184,9.3348,3.9595,3.9335,2.2456,2.577,1.9761,9.5975,8.689,5.59,1.5592,0.3508,1.4514,0.4362,8.5607,0.0966,7.6556,7.7314,2.431,4.0926,5.5243,5.3976,8.5272,5.4499,4.2163,1.2904,9.9266,3.5792,5.5021,4.7779,9.7004,2.328,7.2551,8.9123,1.6341,7.6521
6.6083,4.5615,8.5394,3.4606,1.4927,3.5308,8.9326,9.016,6.0955,5.2352,3.7206,1.3567,2.6174,6.3398,9.1401,4.8801,9.9653,4.1143,0.3161,4.2994,6.5704,0.9003,2.6736,5.1062,7.9835,7.9198,6.8425,5.1828,8.445,1.0351,5.6691,1.6276,0.5358,1.9076,8.4168,1.422,6.1352,7.5102,1.9133,9.2891,8.2693,4.6881,1.9079,5.1792,2.0086,7.1062,7.519,0.5084,0.1324,0.6084,9.4842,6.9767,4.5728,6.8892,7.7691,2.5961,4.2797,5.2245,0.0773,6.3207,5.5216,5.174,7.5995,3.7981
1.71,3.7068,0.3914,4.9588,4.7671,2.3185,8.965,5.749,2.4723,8.1566,7.2981,4.0251,4.8808,2.0557,8.3179,0.4005,0.6896,4.8042,8.2261,0.9372,6.447,9.5107,0.6501,0.8248,1.3805,4.4658,8.4046,4.122,8.9164,8.8735,7.0618,4.9659,7.6932,7.7292,2.095,0.3038,3.9573,6.0808,6.76,8.5278,6.1679,9.0896,7.3502,8.4675,9.8128,0.2093,5.5587,5.1245,6.9759,1.3419,1.3012,0.3971,6.6106,3.7505,0.7384,2.4125,2.5643,5.7337,7.7844,4.5636,7.5566,4.7443,5.5648,8.8648
4.7567,0.1847,8.1753,5.3461,2.7367,0.825,8.1342,7.0057,5.5247,3.4486,7.0899,9.835,2.0724,5.5251,9.0271,8.9862,4.8986,0.3253,8.1001,3.4168,0.8985,3.8655,1.0556,2.5358,4.7455,3.3167,0.2932,4.2825,5.5338,7.831,4.8077,7.9014,8.6393,7.0456,8.187,2.873,8.6034,1.1481,2.7762,5.5644,7.3463,6.5183,9.0514,9.8732,8.4453,4.9558,6.6772,2.7376,3.8095,5.7268,4.2854,6.6845,8.1473,0.4968,2.4322,9.942,1.6694,9.801,3.0384,7.4966,8.7154,1.9595,3.0624,8.1646
