7.7849,0.0918,3.4714,1.5901,7.8378,0.116,0.8795,2.3788,0.3872,4.1712
3.7436,2.2431,9.4691,4.335,1.9262,5.0053,8.3391,9.5126,7.9008,9.2593
9.428,5.17,6.2633,0.132,2.5694,3.1427,5.4124,3.5938,2.177,8.9897
5.8188,7.5576,9.3116,4.551,9.9812,7.6961,4.86,6.5242,1.7172,5.1815
4.8167,2.1186,4.3433,6.7614,0.9914,3.3156,4.2263,5.9694,2.2088,6.3362
5.4059,4.8667,9.906,3.8563,8.8744,5.0752,1.3179,8.903,1.8829,4.6055
3.2871,1.5864,1.1606,1.8591,9.9783,8.633,4.1674,7.1098,8.995,3.1798
7.5639,9.0203,5.9307,9.6571,7.5809,4.0429,9.4737,8.1162,3.8174,3.7782
4.0845,0.9183,6.4961,2.942,1.5755,8.7446,8.3566,4.6813,7.3611,3.3929
6.214,7.0375,7.2194,1.8337,4.3163,8.8311,5.5014,1.04,6.4738,0.0051
