6.6546,8.559,0.752,8.6038,7.9451,1.3351,5.5248,1.8352,8.7811,1.7589,2.4115,1.0321,5.5746,1.2495,5.3651,1.8557,4.4977,8.2769,5.8806,3.7965,9.639,7.0291,2.0395,2.0188,9.3071,5.331,1.2566,1.6131,3.7829,7.739,7.6223,5.3655
9.505,3.859,0.4938,6.1867,8.019,0.7163,7.1893,7.4925,0.3437,2.5278,9.407,8.9345,3.5887,9.7053,2.5019,0.8332,7.842,0.8631,6.7941,1.103,0.6737,3.769,3.2351,1.6015,4.9013,7.7083,3.3389,5.4966,3.1983,8.7919,0.8082,1.1914
2.8024,4.4634,8.8229,2.9855,2.4699,8.1336,1.0771,3.4552,6.1322,9.3643,2.1876,3.2106,4.303,6.2989,0.454,9.5674,1.8885,8.4631,6.4987,4.4257,3.6731,2.6336,0.8647,5.9117,0.0025,2.4824,9.4032,9.1719,3.3531,1.3561,3.9213,1.3178
9.9979,7.6177,7.5281,9.7297,7.9968,0.1615,0.5178,5.074,9.2647,2.3059,5.5444,6.6483,4.7083,2.0269,3.1026,5.5886,3.8867,3.1533,6.6206,1.6108,0.4738,7.8423,9.176,6.1351,9.2478,7.7275,5.369,8.7627,8.3572,6.9674,7.3969,2.6373
4.0711,1.1762,5.9227,9.2548,6.7845,8.6762,4.4505,5.0722,2.7403,3.0862,5.6677,6.5618,7.3632,2.5905,6.2705,0.1701,6.907,8.3065,8.1018,9.1415,7.9686,3.2887,5.4046,0.5103,0.4973,8.1365,0.1478,2.7827,6.0029,2.4514,7.4899,9.9029
5.6301,1.8017,4.0982,8.3011,2.0363,6.7687,8.9323,3.0394,1.5083,8.2864,5.9398,6.3983,1.2098,0.2472,1.2704,8.6103,8.5095,9.91,9.9996,8.4192,0.7676,6.0981,5.7554,4.0456,6.5481,4.4342,8.2106,4.678,0.8736,6.3551,6.8838,6.8299
2.8631,4.525,9.3729,5.38,8.1343,1.1569,4.3749,5.4504,0.5156,4.8607,5.9334,7.8943,1.4838,3.4256,5.3347,5.715,2.5992,2.052,7.0101,2.089,4.3792,7.1603,8.7424,1.7046,9.691,4.572,6.168,0.9459,2.4238,7.0135,6.6946,6.0068
6.0994,2.7844,2.9217,6.5121,2.8725,3.9906,3.7403,1.2698,0.7135,4.1086,4.4531,1.4867,8.1668,7.7561,2.5862,8.1692,9.0834,2.5232,1.1879,8.6392,3.6897,2.621,5.2221,2.2691,1.3909,7.2444,2.1283,6.4207,9.054,8.4158,6.5618,2.0669
2.2369,0.2205,5.7844,9.7784,3.2537,0.2454,4.2375,1.5382,3.1188,1.5941,0.163,4.9625,4.8437,4.353,1.54,7.4967,9.8082,7.4808,1.9175,6.5549,4.4562,7.1679,9.4977,6.3218,3.685,9.6353,8.1805,3.012,2.7483,4.7097,8.4384,2.303
4.7149,8.9382,2.0235,9.2129,6.6443,5.7045,5.3128,1.9096,0.1911,8.3243,7.645,8.1837,6.7581,2.4092,2.6435,0.7137,7.2707,7.5678,1.3563,7.6046,9.0655,4.19,6.0306,4.7687,9.2705,1.4264,4.9869,3.7278,6.5977,3.1432,1.6448,0.1343
4.5294,8.0329,2.0309,7.7835,6.7645,7.8793,5.2851,6.0697,8.838,4.9695,9.149,6.6309,1.4292,8.2782,8.5891,7.6861,3.3401,9.5824,1.6519,7.5913,5.3666,0.8907,5.9793,4.6805,1.2128,9.83,8.5265,3.1939,6.6632,2.4177,1.7272,6.2952
2.1126,9.9195,3.2666,8.3021,2.5586,2.8807,8.1498,8.7382,7.2236,3.7146,2.1361,3.0216,5.1585,6.1738,6.4874,6.8616,7.3371,6.6874,3.2786,9.3746,9.8885,8.4842,6.5583,4.8974,3.1439,9.2813,2.4176,6.8055,7.88,4.7916,1.9536,1.5978
