9.6694,6.3349,1.5329,1.6852,7.8822,8.5216,0.8619,6.7834,4.2997,4.5496
4.9739,5.5414,5.2342,1.669,0.8452,3.3101,6.4535,7.4628,0.8543,8.5975
5.58,2.4903,9.8862,3.1821,1.837,6.3474,4.3885,2.8627,2.4614,1.8418
3.4949,5.7273,3.4659,7.145,1.7408,0.5761,2.0788,6.6862,0.3498,9.4011
7.5407,8.9663,0.476,0.8731,6.1797,2.2975,9.5496,2.9303,3.9596,1.8988
8.8203,8.3712,0.5285,0.6065,7.5559,7.5323,9.1587,4.8508,6.3957,7.578
1.7474,4.7796,6.9927,8.2523,0.4044,8.7298,1.2382,4.5483,6.8562,1.5225
7.8995,2.8262,5.069,2.9689,4.7313,8.9964,0.5849,1.9534,2.8948,0.5261
9.484,5.8193,4.2232,1.8426,1.7292,0.337,7.8461,9.05,6.2248,8.9139
7.0397,3.9245,1.0824,9.3548,8.2072,2.4484,5.5055,3.3636,4.1904,3.8097
