1.5387,3.4868,2.4684,7.7843,5.058,4.8063,7.2977,8.3605,8.8579,2.2804,0.0439,0.2018,2.9977,4.3014,8.191,5.2655
4.9984,8.0055,1.3316,4.5484,4.1893,4.9733,6.171,8.7755,1.7554,4.8704,9.1011,4.3634,1.9499,2.004,9.6853,1.4805
9.6234,6.6312,7.224,4.8904,8.5199,3.5615,1.2216,2.3493,2.9128,0.7014,2.1521,0.2035,7.2595,6.185,1.9801,3.8887
3.6015,2.2173,5.2158,1.3125,3.229,9.1954,9.9526,2.0857,5.544,6.877,3.9309,1.0521,8.9586,6.5514,6.091,3.9062
4.6711,2.7051,2.2096,2.9764,7.1682,4.5385,7.6928,6.5367,3.3292,6.3302,4.4433,4.5127,9.344,5.0717,1.5764,2.9235
7.11,9.6522,2.7826,1.449,0.0079,2.992,2.154,7.4132,3.4526,4.3943,1.808,3.1749,7.9974,7.2531,8.4721,5.1461
9.6246,0.3587,8.0439,0.5683,6.3822,0.4406,1.4672,8.5551,4.4939,8.5579,9.5103,5.7377,9.7546,8.3768,3.9794,3.3835
7.94,1.4822,6.3393,7.8148,8.4465,2.5534,3.3841,9.5922,8.5581,3.3627,9.999,7.4771,4.0211,8.6035,8.7215,4.7529
1.7763,3.7064,1.1287,8.8543,9.6996,5.1911,1.2979,5.8044,7.5316,5.2641,5.8905,5.278,7.549,6.5264,3.8228,3.7327
1.613,2.4839,3.1411,3.5038,2.234,2.9221,1.3262,5.918,0.1163,7.542,1.1798,1.3551,9.0964,8.2098,1.6416,5.7607
3.5742,2.6504,7.5167,5.6023,7.7933,1.3611,6.1366,0.1868,7.3596,8.1911,1.2712,6.3013,9.3359,4.0829,3.6043,4.1151
2.7964,2.1799,1.5939,1.2831,4.6219,6.7048,4.8182,4.1695,7.7209,4.9891,9.8242,2.2577,2.9133,4.8413,2.3758,8.8452
3.5239,4.5293,8.4505,0.8466,8.9097,6.8515,4.5556,4.2018,9.5085,7.2568,3.0015,5.8826,7.9153,2.3895,2.5075,2.6199
1.0416,0.6149,9.8157,1.2836,7.8396,2.8121,9.6653,3.265,8.1004,2.1913,1.902,6.8719,9.2115,6.3612,1.8941,0.9118
7.3149,5.0139,9.9522,3.7188,2.5372,6.0932,8.2105,5.651,1.7773,6.1894,9.1415,7.0158,3.3264,5.7599,6.5065,5.7321
5.3937,1.9865,1.73,4.5164,4.237,9.2866,4.8327,4.2641,0.4853,2.8303,0.3635,5.3875,3.8992,2.0995,3.6622,2.7467
